〇,ling
爱,ai
矮,ai
挨,ai
哎,ai
碍,ai
癌,ai
唉,ai
哀,ai
蔼,ai
皑,ai
嫒,ai
瑷,ai
暧,ai
捱,ai
砹,ai
嗳,ai
锿,ai
霭,ai
伌,ai
僾,ai
凒,ai
啀,ai
嘊,ai
噯,ai
塧,ai
壒,ai
嬡,ai
愛,ai
懓,ai
昹,ai
曖,ai
毐,ai
溰,ai
溾,ai
璦,ai
皚,ai
皧,ai
瞹,ai
硋,ai
薆,ai
藹,ai
譪,ai
躷,ai
鎄,ai
鑀,ai
靄,ai
馤,ai
鱫,ai
鴱,ai
按,an
安,an
暗,an
岸,an
案,an
鞍,an
氨,an
铵,an
桉,an
黯,an
侒,an
儑,an
唵,an
啽,an
垵,an
堓,an
峖,an
盦,an
盫,an
罯,an
腤,an
荌,an
萻,an
蓭,an
誝,an
豻,an
貋,an
銨,an
錌,an
隌,an
雸,an
鞌,an
韽,an
馣,an
鮟,an
盎,ang
岇,ang
昻,ang
枊,ang
醠,ang
袄,ao
傲,ao
熬,ao
敖,ao
翱,ao
廒,ao
嗷,ao
遨,ao
螯,ao
獒,ao
鏊,ao
鳌,ao
岙,ao
厫,ao
嗸,ao
垇,ao
奡,ao
嫯,ao
岰,ao
嶅,ao
嶴,ao
慠,ao
擙,ao
柪,ao
滶,ao
爊,ao
獓,ao
璈,ao
翶,ao
翺,ao
芺,ao
蔜,ao
襖,ao
謷,ao
謸,ao
軪,ao
镺,ao
隞,ao
鰲,ao
鷔,ao
鼇,ao
八,ba
爸,ba
巴,ba
坝,ba
靶,ba
笆,ba
疤,ba
粑,ba
岜,ba
魃,ba
菝,ba
灞,ba
仈,ba
叐,ba
哵,ba
壩,ba
夿,ba
弝,ba
抜,ba
朳,ba
欛,ba
炦,ba
玐,ba
癹,ba
矲,ba
羓,ba
胈,ba
蚆,ba
豝,ba
軷,ba
釟,ba
魞,ba
鲃,ba
摆,bai
败,bai
拜,bai
稗,bai
掰,bai
拝,bai
挀,bai
擺,bai
敗,bai
竡,bai
粨,bai
粺,bai
薭,bai
贁,bai
兡,baike
办,ban
班,ban
版,ban
斑,ban
板,ban
瓣,ban
绊,ban
癍,ban
坂,ban
钣,ban
舨,ban
阪,ban
瘢,ban
姅,ban
岅,ban
怑,ban
攽,ban
斒,ban
昄,ban
瓪,ban
秚,ban
粄,ban
絆,ban
蝂,ban
螁,ban
辬,ban
鈑,ban
鉡,ban
靽,ban
魬,ban
帮,bang
棒,bang
绑,bang
邦,bang
梆,bang
谤,bang
垹,bang
塝,bang
幇,bang
幚,bang
幫,bang
捠,bang
玤,bang
稖,bang
綁,bang
縍,bang
艕,bang
謗,bang
邫,bang
鞤,bang
报,bao
饱,bao
保,bao
宝,bao
豹,bao
雹,bao
龅,bao
孢,bao
煲,bao
褓,bao
鸨,bao
葆,bao
佨,bao
儤,bao
勹,bao
勽,bao
堢,bao
媬,bao
寚,bao
寳,bao
寶,bao
忁,bao
怉,bao
曓,bao
珤,bao
窇,bao
笣,bao
緥,bao
菢,bao
蕔,bao
藵,bao
虣,bao
賲,bao
闁,bao
靌,bao
飹,bao
飽,bao
駂,bao
骲,bao
髱,bao
鳵,bao
鴇,bao
齙,bao
